Det Fem.Pl.Dat	PDFPD
Det Fem.Pl.Gen	PDFPG
Det Fem.Pl.Nom	PDFPN
Det Fem.Pl.Nom.Indef	PIFPN
Det Fem.Sg.Acc	PDFSA
Det Fem.Sg.Acc.Indef	PIFSA
Det Fem.Sg.Dat	PDFSD
Det Fem.Sg.Dat.Indef	PIFSD
Det Fem.Sg.Gen	PDFSG
Det Fem.Sg.Gen.Indef	PIFSG
Det Fem.Sg.Nom	PDFSN
Det Fem.Sg.Nom.Def	PIFSN
Det Fem.Sg.Nom.Indef	PIFSN
Det Indef.Fem.Pl.Acc	PIFPA
Det Indef.Fem.Pl.Dat	PIFPD
Det Indef.Fem.Pl.Gen	PIFPG
Det Indef.Fem.Pl.Nom	PIFPN
Det Indef.Fem.Sg.Acc	PIFSA
Det Indef.Fem.Sg.Dat	PIFSD
Det Indef.Fem.Sg.Nom	PIFSN
Det Indef.Msc.Pl.Acc	PIMPA
Det Indef.Msc.Pl.Dat	PIMPD
Det Indef.Msc.Pl.Nom	PIMPN
Det Indef.Msc.Sg.Acc	PIMSA
Det Indef.Msc.Sg.Dat	PIMSD
Det Indef.Msc.Sg.Nom	PIMSN
Det Indef.Neu.Pl.Acc	PINPA
Det Indef.Neu.Pl.Dat	PINPD
Det Indef.Neu.Pl.Nom	PINPN
Det Indef.Neu.Sg.Acc	PINSA
Det Indef.Neu.Sg.Dat	PINSD
Det Indef.Neu.Sg.Nom	PINSN
Det Interr.Fem.Pl.Acc	PQFPA
Det Interr.Fem.Pl.Dat	PQFPD
Det Interr.Fem.Pl.Gen	PQFPG
Det Interr.Fem.Pl.Nom	PQFPN
Det Interr.Fem.Sg.Acc	PQFSA
Det Interr.Fem.Sg.Dat	PQFSD
Det Interr.Fem.Sg.Gen	PQFSG
Det Interr.Fem.Sg.Nom	PQFSN
Det Interr.Msc.Pl.Acc	PQMPA
Det Interr.Msc.Pl.Dat	PQMPD
Det Interr.Msc.Pl.Nom	PQMPN
